DEPTH,DT,GR,LLD,LLS,PHIE,PHIT,RHOB,SW,TNPH,VWCL
1450.6,113.5225,83.5961,6.223,4.8795,0.0001,0.119092,2.4236,1.0,0.470386,0.7928
1450.7,117.371,83.9964,6.335,4.978,0.0001,0.123683,2.435,1.0,0.482758,0.8234
1450.8,122.631,82.9785,6.61,5.226,0.0001,0.122292,2.413,1.0,0.49897,0.8141
1450.9,122.839,82.8254,6.7185,5.3215,0.0001,0.118267,2.3692,1.0,0.507048,0.7873
1451.0,123.047,84.3868,6.827,5.417,0.020403,0.131795,2.2882,1.0,0.507958,0.7422
1451.1,121.121,86.9204,6.876,5.447,0.029567,0.137672,2.2269,1.0,0.502733,0.7203
1451.2,119.195,89.0627,6.925,5.477,0.021538,0.132465,2.228,1.0,0.491386,0.7391
1451.3,113.609,89.2637,6.646,5.232,0.023933,0.133941,2.2402,1.0,0.476724,0.733
1451.4,111.0515,87.463,6.2235,4.9065,0.041761,0.14656,2.2562,1.0,0.46179,0.6983
1451.5,108.494,84.3532,5.801,4.581,0.086937,0.183519,2.2687,1.0,0.445292,0.6435
1451.6,104.679,82.4531,4.774,3.823,0.125885,0.217176,2.2792,1.0,0.430016,0.6083
1451.7,103.5625,81.1789,4.4725,3.6005,0.155796,0.24224,2.2687,1.0,0.423206,0.576
1451.8,102.446,79.7655,4.171,3.378,0.178449,0.258825,2.2397,0.9756,0.422204,0.5355
1451.9,102.581,77.5289,4.267,3.431,0.184521,0.26031,2.2382,0.9791,0.417312,0.505
1452.0,104.334,76.2017,4.6655,3.712,0.16096,0.2376,2.2785,0.993,0.406372,0.5106
1452.1,106.087,76.2044,5.064,3.993,0.122137,0.204438,2.3383,1.0,0.398035,0.5484
1452.2,112.589,76.1159,6.147,4.826,0.062197,0.156314,2.4308,1.0,0.401332,0.6271
1452.3,116.1315,78.5125,6.484,5.1425,0.015215,0.124274,2.4947,1.0,0.419812,0.7266
1452.4,119.674,82.6122,6.821,5.459,0.0001,0.11767,2.4574,1.0,0.451507,0.7834
1452.5,124.347,84.4818,6.822,5.632,0.0001,0.119667,2.3905,1.0,0.485162,0.7967
1452.6,124.9015,85.0264,6.6515,5.561,0.015523,0.129192,2.3052,1.0,0.502546,0.7574
1452.7,125.456,84.8905,6.481,5.49,0.043796,0.148117,2.2384,1.0,0.4979,0.6951
1452.8,124.759,85.1143,6.184,5.309,0.057848,0.159243,2.2292,1.0,0.486481,0.6756
1452.9,125.0295,85.8314,6.105,5.2555,0.051739,0.154336,2.2349,1.0,0.481627,0.6836
1453.0,125.3,85.9793,6.026,5.202,0.042445,0.147082,2.2499,1.0,0.481123,0.6972
1453.1,128.38,84.6429,5.867,5.086,0.050991,0.153742,2.2615,1.0,0.478138,0.6846
1453.2,130.054,82.0977,5.7385,4.9825,0.074883,0.173318,2.2713,1.0,0.474268,0.6559
1453.3,131.728,80.8077,5.61,4.879,0.08609,0.182798,2.2735,1.0,0.475368,0.6443
1453.4,131.081,82.8201,5.36,4.664,0.066444,0.166284,2.2642,1.0,0.479199,0.6652
1453.5,127.5195,85.8901,5.329,4.628,0.04938,0.152468,2.2381,1.0,0.481492,0.6869
1453.6,123.958,86.9916,5.298,4.592,0.0544,0.156462,2.2063,1.0,0.484028,0.68
1453.7,112.428,84.7363,5.545,4.758,0.082526,0.179769,2.1945,1.0,0.490723,0.6479
1453.8,107.3435,81.8941,5.79,4.935,0.109505,0.202937,2.196,1.0,0.497254,0.6225
1453.9,102.259,79.0817,6.035,5.112,0.129527,0.220349,2.2174,0.9322,0.494422,0.6051
1454.0,98.689,76.0952,6.508,5.47,0.136282,0.226235,2.2663,0.8744,0.482119,0.5993
1454.1,100.7365,74.3731,6.609,5.5615,0.110322,0.203646,2.3357,0.9414,0.468033,0.6218
1454.2,102.784,74.4783,6.71,5.653,0.075199,0.173584,2.3875,1.0,0.460953,0.6555
1454.3,106.98,75.8777,6.6245,5.614,0.046425,0.150152,2.4133,1.0,0.462527,0.6911
1454.4,111.176,79.4356,6.539,5.575,0.021773,0.132606,2.418,1.0,0.468953,0.7385
1454.5,119.141,84.5101,6.117,5.301,0.018014,0.130457,2.3425,1.0,0.478482,0.7492
1454.6,121.5205,85.8786,5.896,5.142,0.03581,0.142114,2.2516,1.0,0.489558,0.7083
1454.7,123.9,83.1648,5.675,4.983,0.055148,0.157063,2.242,1.0,0.500233,0.679
1454.8,125.475,81.1882,5.289,4.678,0.064616,0.164775,2.2464,1.0,0.506383,0.6673
1454.9,125.5145,80.1345,5.1085,4.525,0.072585,0.171392,2.2555,1.0,0.502777,0.6583
1455.0,125.554,78.6182,4.928,4.372,0.098771,0.193661,2.2648,1.0,0.489313,0.6322
1455.1,125.765,75.6902,4.675,4.148,0.129336,0.220182,2.294,1.0,0.472352,0.6053
1455.2,126.2445,74.688,4.6465,4.1175,0.117785,0.210126,2.3274,1.0,0.46609,0.6153
1455.3,126.724,76.5473,4.618,4.087,0.072573,0.171382,2.3294,1.0,0.484712,0.6584
1455.4,127.873,78.7922,4.747,4.178,0.040017,0.145239,2.2959,1.0,0.52108,0.7011
1455.5,127.8625,80.4902,4.88,4.2805,0.0304,0.138249,2.2515,1.0,0.548116,0.7186
1455.6,127.852,80.6942,5.013,4.383,0.042581,0.147185,2.2243,1.0,0.54674,0.697
1455.7,125.661,79.6084,5.328,4.628,0.107222,0.20096,2.1886,1.0,0.522745,0.6246
