DEPTH,DT,GR,LLD,LLS,PHIE,PHIT,RHOB,SW,TNPH,VWCL
1401.77522,127.9669,84.0667,5.832,5.611,0.133042,0.318787,2.178,0.852,0.500438,0.5904
1401.92762,128.264,83.627,5.781,5.587,0.111358,0.300861,2.213,0.918,0.491194,0.6023
1402.08002,128.6351,82.0705,5.756,5.593,0.146569,0.322441,2.169,0.807,0.495939,0.559
1402.23242,128.838,77.0537,5.778,5.636,0.167346,0.335064,2.153,0.7681,0.518344,0.5331
1402.38482,128.748,75.81,5.829,5.706,0.171354,0.343432,2.14,0.7459,0.544899,0.547
1402.53722,128.593,75.834,5.873,5.767,0.173867,0.349039,2.131,0.7401,0.558238,0.5568
1402.68962,128.6371,81.0187,5.901,5.775,0.11935,0.312485,2.147,0.8927,0.560735,0.6139
1402.84202,129.0529,85.0689,5.928,5.791,0.083246,0.286855,2.137,0.9967,0.563539,0.6472
1402.99442,129.9942,85.1717,5.947,5.799,0.121469,0.314027,2.095,0.8826,0.56131,0.6121
1403.14682,131.5685,81.7731,6.022,5.859,0.185443,0.357744,2.085,0.7061,0.541976,0.5477
1403.29922,133.8551,76.975,6.225,6.029,0.230154,0.368144,2.044,0.6912,0.512514,0.4386
1403.45162,136.7868,76.0014,6.6278,6.3749,9.1e-05,0.000145,1.959,0.9999,0.497871,0.0002
1403.60402,139.8769,80.9919,7.322,6.987,0.0,0.0,1.809,1.0,0.506095,0.0
1403.75642,141.9331,75.6904,8.3175,7.8816,0.0,0.0,1.6821,1.0,0.514117,0.0
1403.90882,141.589,71.2094,9.4159,8.8829,0.0,0.0,1.591,1.0,0.502274,0.0
1404.06122,138.2124,68.2365,10.0629,9.4739,9.7e-05,0.000111,1.525,0.9999,0.480745,0.0
1404.21362,132.3959,66.5053,9.768,9.18,0.346049,0.395073,1.633,0.5571,0.46761,0.1558
1404.36602,125.7737,68.4329,8.6587,8.1237,0.313392,0.387514,1.938,0.588,0.463323,0.2356
1404.51842,119.9862,68.0511,7.3453,6.8923,0.191543,0.32078,2.165,0.7191,0.46116,0.4108
1404.67082,115.6835,77.0206,6.3269,5.9449,0.0001,0.202594,2.377,1.0,0.465116,0.6436
1404.82322,112.6508,87.4151,5.7832,5.4511,0.0001,0.23987,2.387,1.0,0.477755,0.7621
1404.97562,110.4068,92.1991,5.638,5.332,0.0001,0.16513,2.402,1.0,0.484818,0.7939
